id,text
ms-001,my watch fell in the water
ms-002,prevailing wind from the east
ms-003,never too rich and never too thin
ms-004,breathing is difficult
ms-005,I can see the rings on Saturn
ms-006,physics and chemistry are hard
ms-007,my bank account is overdrawn
ms-008,elections bring out the best
ms-009,we are having spaghetti
ms-010,time to go shopping
ms-011,a problem with the engine
ms-012,elephants are afraid of mice
ms-013,my favorite place to visit
ms-014,three two one zero blast off
ms-015,my favorite subject is psychology
ms-016,circumstances are unacceptable
ms-017,watch out for low flying objects
ms-018,if at first you do not succeed
ms-019,please provide your date of birth
ms-020,we run the risk of failure
ms-021,prayer in schools offends some
ms-022,he is just like everyone else
ms-023,great disturbance in the force
ms-024,love means many things
ms-025,you must be getting old
ms-026,the world is a stage
ms-027,can I skate with sister today
ms-028,neither a borrower nor a lender be
ms-029,one heck of a question
ms-030,question that must be answered
ms-031,beware the ides of March
ms-032,double double toil and trouble
ms-033,the power of denial
ms-034,I agree with you
ms-035,do not say anything
ms-036,play it again Sam
ms-037,the force is with you
ms-038,you are not a jedi yet
ms-039,an offer you cannot refuse
ms-040,are you talking to me
ms-041,yes you are very smart
ms-042,all work and no play
ms-043,hair gel is very greasy
ms-044,Valium in the economy size
ms-045,the facts get in the way
ms-046,the dreamers of dreams
ms-047,did you have a good time
ms-048,space is a high priority
ms-049,you are a wonderful example
ms-050,do not squander your time
ms-051,do not drink too much
ms-052,take a coffee break
ms-053,popularity is desired by all
ms-054,the music is better than it sounds
ms-055,starlight and dewdrop
ms-056,the living is easy
ms-057,fish are jumping
ms-058,the cotton is high
ms-059,drove my chevy to the levee
ms-060,but the levee was dry
ms-061,I took the rover from the shop
ms-062,movie about a nutty professor
ms-063,come and see our new car
ms-064,coming up with killer sound bites
ms-065,I am going to a music lesson
ms-066,the opposing team is over there
ms-067,soon we will return from the city
ms-068,I am wearing a tie and a jacket
ms-069,the quick brown fox jumped
ms-070,all together in one big pile
ms-071,wear a crown with many jewels
ms-072,there will be some fog tonight
ms-073,I am allergic to bees and peanuts
ms-074,he is still on our team
ms-075,the dow jones index has risen
ms-076,my preferred treat is chocolate
ms-077,the king sends you to the tower
ms-078,we are subjects and must obey
ms-079,mom made her a turtleneck
ms-080,goldilocks and the three bears
ms-081,we went grocery shopping
ms-082,the assignment is due today
ms-083,what you see is what you get
ms-084,for your information only
ms-085,a quarter of a century
ms-086,the store will close at ten
ms-087,head shoulders knees and toes
ms-088,vanilla flavored ice cream
ms-089,frequently asked questions
ms-090,round robin scheduling
ms-091,information super highway
ms-092,my favorite web browser
ms-093,the laser printer is jammed
ms-094,all good boys deserve fudge
ms-095,the second largest country
ms-096,call for more details
ms-097,just in time for the party
ms-098,have a good weekend
ms-099,video camera with a zoom lens
ms-100,what a monkey sees a monkey will do
ms-101,that is very unfortunate
ms-102,the back yard of our house
ms-103,this is a very good idea
ms-104,reading week is just about here
ms-105,our fax number has changed
ms-106,thank you for your help
ms-107,no exchange without a bill
ms-108,the early bird gets the worm
ms-109,buckle up for safety
ms-110,this is too much to handle
ms-111,protect your environment
ms-112,world population is growing
ms-113,the library is closed today
ms-114,Mary had a little lamb
ms-115,teaching services will help
ms-116,we accept personal checks
ms-117,this is a non profit organization
ms-118,user friendly interface
ms-119,healthy food is good for you
ms-120,hands on experience with a job
ms-121,this watch is too expensive
ms-122,the postal service is very slow
ms-123,communicate through email
ms-124,the capital of our nation
ms-125,travel at the speed of light
ms-126,I do not fully agree with you
ms-127,gas bills are sent monthly
ms-128,earth quakes are predictable
ms-129,life is but a dream
ms-130,take it to the recycling depot
ms-131,sent this by registered mail
ms-132,fall is my favorite season
ms-133,a fox is a very smart animal
ms-134,the kids are very excited
ms-135,parking lot is full of trucks
ms-136,my bike has a flat tire
ms-137,do not walk too quickly
ms-138,a duck quacks to ask for food
ms-139,limited warranty of two years
ms-140,the four seasons will come
ms-141,the sun rises in the east
ms-142,it is very windy today
ms-143,do not worry about this
ms-144,dashing through the snow
ms-145,want to join us for lunch
ms-146,stay away from strangers
ms-147,accompanied by an adult
ms-148,see you later alligator
ms-149,make my day you sucker
ms-150,I can play much better now
ms-151,she wears too much makeup
ms-152,my bare face in the wind
ms-153,batman wears a cape
ms-154,I hate baking pies
ms-155,lydia wants to go home
ms-156,win first prize in the contest
ms-157,freud wrote of the ego
ms-158,I do not care if you do that
ms-159,always cover all the bases
ms-160,nobody cares anymore
ms-161,can we play cards tonight
ms-162,get rid of that immediately
ms-163,I watched blazing saddles
ms-164,the sum of the parts
ms-165,they love to yap about nothing
ms-166,peek out the window
ms-167,be home before midnight
ms-168,he played a pimp in that movie
ms-169,I skimmed through your proposal
ms-170,he was wearing a sweatshirt
ms-171,no more war no more bloodshed
ms-172,toss the ball around
ms-173,I will meet you at noon
ms-174,I want to hold your hand
ms-175,the children are playing
ms-176,superman never wore a mask
ms-177,I listen to the tape everyday
ms-178,he is shouting loudly
ms-179,correct your diction immediately
ms-180,seasoned golfers love the game
ms-181,he cooled off after she left
ms-182,my dog sheds his hair
ms-183,join us on the patio
ms-184,these cookies are so amazing
ms-185,I can still feel your presence
ms-186,the dog will bite you
ms-187,a most ridiculous thing
ms-188,where did you get that tie
ms-189,what a lovely red jacket
ms-190,do you like to shop on Sunday
ms-191,I spilled coffee on the carpet
ms-192,the largest of the five oceans
ms-193,shall we play a round of cards
ms-194,olympic athletes use drugs
ms-195,my mother makes good cookies
ms-196,do a good deed to someone
ms-197,quick there is someone knocking
